ts,red,ir,green
1675891552605839,5902.0,57932.0,668.0
1675891552617839,5902.0,57932.0,668.0
1675891552629839,5902.0,57932.0,668.0
1675891552645839,5922.0,57823.0,666.0
1675891552657839,5922.0,57823.0,666.0
1675891552669839,5922.0,57823.0,666.0
1675891552685839,5871.0,57884.0,669.0
1675891552697839,5871.0,57884.0,669.0
1675891552709839,5871.0,57884.0,669.0
1675891552725839,5920.0,57912.0,676.0
1675891552737839,5920.0,57912.0,676.0
1675891552749839,5920.0,57912.0,676.0
1675891552765839,5887.0,57879.0,700.0
1675891552777840,5887.0,57879.0,700.0
1675891552789840,5887.0,57879.0,700.0
1675891552805840,5874.0,57861.0,694.0
1675891552817840,5874.0,57861.0,694.0
1675891552829840,5874.0,57861.0,694.0
1675891552845839,5883.0,57857.0,672.0
1675891552857839,5883.0,57857.0,672.0
1675891552869839,5883.0,57857.0,672.0
1675891552885839,5900.0,57897.0,668.0
1675891552897839,5900.0,57897.0,668.0
1675891552909839,5900.0,57897.0,668.0
1675891552925839,5908.0,57870.0,693.0
1675891552937839,5908.0,57870.0,693.0
1675891552949839,5908.0,57870.0,693.0
1675891552966839,5918.0,57880.0,678.0
1675891552978839,5918.0,57880.0,678.0
1675891552990839,5918.0,57880.0,678.0
1675891553006839,5890.0,57858.0,693.0
1675891553018839,5890.0,57858.0,693.0
1675891553030840,5890.0,57858.0,693.0
1675891553046840,5871.0,57874.0,695.0
1675891553058840,5871.0,57874.0,695.0
1675891553070840,5871.0,57874.0,695.0
1675891553086839,5907.0,57868.0,659.0
1675891553098839,5907.0,57868.0,659.0
1675891553110839,5907.0,57868.0,659.0
1675891553126839,5895.0,57889.0,716.0
1675891553138839,5895.0,57889.0,716.0
1675891553150839,5895.0,57889.0,716.0
1675891553166839,5886.0,57913.0,684.0
1675891553178839,5886.0,57913.0,684.0
1675891553190839,5886.0,57913.0,684.0
1675891553206839,5859.0,57950.0,712.0
1675891553217839,5859.0,57950.0,712.0
1675891553229839,5859.0,57950.0,712.0
1675891553246839,5894.0,58436.0,697.0
1675891553258839,5894.0,58436.0,697.0
1675891553270839,5894.0,58436.0,697.0
1675891553286839,13080.0,78269.0,2314.0
1675891553298839,13080.0,78269.0,2314.0
1675891553310840,13080.0,78269.0,2314.0
1675891553326839,90244.0,139352.0,16589.0
1675891553338839,90244.0,139352.0,16589.0
1675891553350839,90244.0,139352.0,16589.0
1675891553366839,155776.0,204903.0,15959.0
1675891553378839,155776.0,204903.0,15959.0
1675891553390839,155776.0,204903.0,15959.0
1675891553406839,221282.0,262143.0,11271.0
1675891553418839,221282.0,262143.0,11271.0
1675891553430839,221282.0,262143.0,11271.0
1675891553445839,252852.0,262143.0,12754.0
1675891553457839,252852.0,262143.0,12754.0
1675891553468839,252852.0,262143.0,12754.0
1675891553486839,210834.0,211435.0,10907.0
1675891553498839,210834.0,211435.0,10907.0
1675891553509839,210834.0,211435.0,10907.0
1675891553525839,160740.0,182819.0,8240.0
1675891553537839,160740.0,182819.0,8240.0
1675891553549839,160740.0,182819.0,8240.0
1675891553565839,164875.0,203703.0,9161.0
1675891553577839,164875.0,203703.0,9161.0
1675891553589839,164875.0,203703.0,9161.0
1675891553605839,142818.0,184224.0,8391.0
1675891553617839,142818.0,184224.0,8391.0
1675891553629839,142818.0,184224.0,8391.0
1675891553645839,69707.0,101164.0,4674.0
1675891553657839,69707.0,101164.0,4674.0
1675891553669839,69707.0,101164.0,4674.0
1675891553685839,38267.0,59779.0,2820.0
1675891553697839,38267.0,59779.0,2820.0
1675891553709839,38267.0,59779.0,2820.0
1675891553725839,24509.0,41124.0,1929.0
1675891553737840,24509.0,41124.0,1929.0
1675891553749840,24509.0,41124.0,1929.0
1675891553765840,20181.0,34777.0,1660.0
1675891553777840,20181.0,34777.0,1660.0
1675891553789840,20181.0,34777.0,1660.0
1675891553805839,18624.0,32660.0,1501.0
1675891553817839,18624.0,32660.0,1501.0
1675891553829839,18624.0,32660.0,1501.0
1675891553845839,19129.0,33303.0,1562.0
1675891553857839,19129.0,33303.0,1562.0
1675891553869839,19129.0,33303.0,1562.0
1675891553885839,20068.0,34718.0,1608.0
1675891553897839,20068.0,34718.0,1608.0
1675891553909839,20068.0,34718.0,1608.0
1675891553925839,26645.0,44141.0,2018.0
1675891553937839,26645.0,44141.0,2018.0
1675891553949839,26645.0,44141.0,2018.0
1675891553966839,38963.0,58475.0,2648.0
1675891553978839,38963.0,58475.0,2648.0
1675891553990840,38963.0,58475.0,2648.0
1675891554006840,35258.0,51169.0,2317.0
1675891554018840,35258.0,51169.0,2317.0
1675891554030840,35258.0,51169.0,2317.0
1675891554046839,45517.0,63013.0,2818.0
1675891554058839,45517.0,63013.0,2818.0
1675891554070839,45517.0,63013.0,2818.0
1675891554086839,80603.0,105226.0,4890.0
1675891554098839,80603.0,105226.0,4890.0
1675891554110839,80603.0,105226.0,4890.0
1675891554126839,77892.0,101016.0,4657.0
1675891554138839,77892.0,101016.0,4657.0
1675891554150839,77892.0,101016.0,4657.0
1675891554166839,71610.0,93423.0,4259.0
1675891554178839,71610.0,93423.0,4259.0
1675891554190839,71610.0,93423.0,4259.0
1675891554206839,68702.0,90221.0,4090.0
1675891554217839,68702.0,90221.0,4090.0
1675891554229839,68702.0,90221.0,4090.0
1675891554246839,66992.0,88487.0,3981.0
1675891554258839,66992.0,88487.0,3981.0
1675891554270840,66992.0,88487.0,3981.0
